ChangedType,Dynamic?,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath,DOM,CV,Result,vista,GroundTruth
[NODE_ADDED],NO,div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[9],,,,,,,,,,TP,FP,TP,NA,Discover Anna Sui. A
[NODE_ADDED],NO,hr,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[5],,,,,,,,,,TP,TP,TP,NA,hr below above. A
[NODE_ADDED],NO,div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[8],,,,,,,,,,TP,FP,TP,NA,Discover Lemlem. A
[NODE_ADDED],NO,hr,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[4],,,,,,,,,,TP,TP,TP,NA,hr above. A
[NODE_ADDED],NO,div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[7],,,,,,,,,,TP,FP,TP,NA,"Prep for colledge, for less. A"
[NODE_ADDED],NO,div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[6],,,,,,,,,,TP,FP,TP,NA,Home upgrades ideas. A
[NODE_ADDED],NO,div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[5],,,,,,,,,,TP,FP,TP,NA,The summer sandal edit. A
[NODE_ADDED],NO,div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[4],,,,,,,,,,TP,FP,TP,NA,Freshen up with new color. A
[NODE_ADDED],NO,hr,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[3],,,,,,,,,,TP,TP,TP,NA,hr below for the content creator. A
[NODE_ADDED],NO,div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[3],,,,,,,,,,TP,FP,TP,NA,for the content creator. A
[NODE_ADDED],NO,hr,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[2],,,,,,,,,,TP,TP,TP,NA,hr above for the content creator. A
[NODE_ADDED],NO,div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[2],,,,,,,,,,TP,FP,TP,NA,Deals on tools...A
[NODE_ADDED],NO,hr,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[1],,,,,,,,,,TP,TP,TP,NA,hr above Deals on tools...A
[NODE_ADDED],NO,div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[1],,,,,,,,,,TP,FP,TP,NA,Prep for colledge for less. A
[NODE_ADDED],NO,form,/html/body/div[3]/div[2]/div[3]/form[1],,,,,,,,,,TP,TP,TP,NA,invisible div. A
