ChangedType,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath
[NODE_ADDED],div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[9],,,,,,,,,
[NODE_ADDED],hr,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[5],,,,,,,,,
[NODE_ADDED],div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[8],,,,,,,,,
[NODE_ADDED],hr,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[4],,,,,,,,,
[NODE_ADDED],div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[7],,,,,,,,,
[NODE_ADDED],div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[6],,,,,,,,,
[NODE_ADDED],div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[5],,,,,,,,,
[NODE_ADDED],div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[4],,,,,,,,,
[NODE_ADDED],hr,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[3],,,,,,,,,
[NODE_ADDED],div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[3],,,,,,,,,
[NODE_ADDED],hr,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[2],,,,,,,,,
[NODE_ADDED],div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[2],,,,,,,,,
[NODE_ADDED],hr,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[1],,,,,,,,,
[NODE_ADDED],div,/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[1],,,,,,,,,
[NODE_ADDED],form,/html/body/div[3]/div[2]/div[3]/form[1],,,,,,,,,
[NODE_ADDED],div,/html/body/div[3]/div[2]/div[3]/div[3],,,,,,,,,
[NODE_ADDED],div,/html/body/div[3]/div[2]/div[3]/div[2],,,,,,,,,
[NODE_ADDED],div,/html/body/div[3]/div[2]/div[3]/div[1],,,,,,,,,
