Api Content,Api Tpe,,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[9],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[5],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[8],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[4],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[7],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[6],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[5],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[4],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[3],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[3],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[2],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[2],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/hr[1],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[4]/div[1]/div[1],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[3],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[2],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[3]/div[1],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3],[PROP_CHANGED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ol[1]/li[5]/div[1],[PROP_CHANGED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ol[1]/li[5]/div[1],[PROP_CHANGED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ol[1]/li[4]/div[1],[PROP_CHANGED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ol[1]/li[4]/div[1]/div[1],[NODE_REMOVED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ol[1]/li[3]/div[1],[PROP_CHANGED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ol[1]/li[3]/div[1]/div[1],[NODE_REMOVED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ol[1]/li[2]/div[1],[PROP_CHANGED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ol[1]/li[2]/div[1]/div[1],[NODE_REMOVED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ol[1]/li[1]/div[1]/div[1],[NODE_REMOVED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ol[1]/li[4],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ol[1]/li[3],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ol[1]/li[2],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ol[1]/li[1],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1],[PROP_CHANGED],,,,,,,,,,
/html/body/div[3]/header[1],[PROP_CHANGED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1],[PROP_CHANGED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1]/div[2]/div[3]/div[1]/div[1]/a[1],[PROP_CHANGED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1]/div[2]/div[3]/div[2]/div[1]/a[9],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1]/div[2]/div[3]/div[2]/div[1]/a[8],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1]/div[2]/div[3]/div[2]/div[1]/a[7],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1]/div[2]/div[3]/div[2]/div[1]/a[6],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1]/div[2]/div[3]/div[2]/div[1]/a[5],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1]/div[2]/div[3]/div[2]/div[1]/a[4],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1]/div[2]/div[3]/div[2]/div[1]/a[3],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1]/div[2]/div[3]/div[2]/div[1]/a[2],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1]/div[2]/div[3]/div[2]/div[1]/a[1],[NODE_ADDED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1]/div[2]/div[2]/div[1],[PROP_CHANGED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1]/div[2]/div[2]/div[1]/a[5],[NODE_REMOVED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1]/div[2]/div[2]/div[1]/a[4],[NODE_REMOVED],,,,,,,,,,
/html/body/div[3]/header[1]/div[1]/div[2]/div[2]/div[1]/a[3],[NODE_REMOVED],,,,,,,,,,
