ChangedType,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath
[NODE_REMOVED],,,,,,,,,,li,/html/body/footer[1]/div[1]/nav[1]/div[4]/div[2]/ul[1]/li[4]
[NODE_REMOVED],,,,,,,,,,li,/html/body/footer[1]/div[1]/nav[1]/div[4]/div[2]/ul[1]/li[3]
[NODE_REMOVED],,,,,,,,,,li,/html/body/footer[1]/div[1]/nav[1]/div[4]/div[2]/ul[1]/li[2]
[NODE_REMOVED],,,,,,,,,,li,/html/body/footer[1]/div[1]/nav[1]/div[4]/div[2]/ul[1]/li[1]
[NODE_ADDED],div,/html/body/footer[1]/div[1]/nav[1]/div[4]/div[2],,,,,,,,,
[NODE_ADDED],div,/html/body/footer[1]/div[1]/nav[1]/div[4]/div[1],,,,,,,,,
[PROP_CHANGED],,,id,<viewport-emitter>,div,/html/body/div[6],<>,div,/html/body/div[8],,
[NODE_ADDED],li,/html/body/footer[1]/div[1]/nav[1]/div[3]/div[1]/ul[1]/li[9],,,,,,,,,
[NODE_ADDED],li,/html/body/footer[1]/div[1]/nav[1]/div[3]/div[1]/ul[1]/li[8],,,,,,,,,
[NODE_ADDED],li,/html/body/footer[1]/div[1]/nav[1]/div[3]/div[1]/ul[1]/li[7],,,,,,,,,
[NODE_ADDED],li,/html/body/footer[1]/div[1]/nav[1]/div[3]/div[1]/ul[1]/li[6],,,,,,,,,
[NODE_ADDED],li,/html/body/footer[1]/div[1]/nav[1]/div[3]/div[1]/ul[1]/li[5],,,,,,,,,
[NODE_ADDED],li,/html/body/footer[1]/div[1]/nav[1]/div[3]/div[1]/ul[1]/li[4],,,,,,,,,
[NODE_ADDED],li,/html/body/footer[1]/div[1]/nav[1]/div[3]/div[1]/ul[1]/li[3],,,,,,,,,
[NODE_ADDED],li,/html/body/footer[1]/div[1]/nav[1]/div[3]/div[1]/ul[1]/li[2],,,,,,,,,
[NODE_ADDED],li,/html/body/footer[1]/div[1]/nav[1]/div[3]/div[1]/ul[1]/li[1],,,,,,,,,
[NODE_ADDED],div,/html/body/div[7],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,div,/html/body/footer[1]/div[1]/nav[1]/div[3]/div[1]
[NODE_REMOVED],,,,,,,,,,li,/html/body/footer[1]/div[1]/nav[1]/div[2]/div[1]/ul[1]/li[8]
[NODE_REMOVED],,,,,,,,,,li,/html/body/footer[1]/div[1]/nav[1]/div[2]/div[1]/ul[1]/li[7]
[NODE_REMOVED],,,,,,,,,,li,/html/body/footer[1]/div[1]/nav[1]/div[2]/div[1]/ul[1]/li[6]
[NODE_REMOVED],,,,,,,,,,li,/html/body/footer[1]/div[1]/nav[1]/div[2]/div[1]/ul[1]/li[5]
[NODE_REMOVED],,,,,,,,,,li,/html/body/footer[1]/div[1]/nav[1]/div[2]/div[1]/ul[1]/li[4]
[NODE_REMOVED],,,,,,,,,,li,/html/body/footer[1]/div[1]/nav[1]/div[2]/div[1]/ul[1]/li[3]
[NODE_REMOVED],,,,,,,,,,li,/html/body/footer[1]/div[1]/nav[1]/div[2]/div[1]/ul[1]/li[2]
[NODE_REMOVED],,,,,,,,,,li,/html/body/footer[1]/div[1]/nav[1]/div[2]/div[1]/ul[1]/li[1]
[NODE_ADDED],span,/html/body/span[1],,,,,,,,,
[NODE_ADDED],div,/html/body/footer[1]/div[1]/nav[1]/div[2]/div[1],,,,,,,,,
[NODE_ADDED],section,/html/body/footer[1]/div[1]/section[1],,,,,,,,,
[PROP_CHANGED],,,class,<main with-heroes with-promos>,main,/html/body/main[1],<main>,main,/html/body/main[1],,
[NODE_ADDED],section,/html/body/main[1]/section[3],,,,,,,,,
[PROP_CHANGED],,,id,<section-promos>,section,/html/body/main[1]/section[2],<>,section,/html/body/main[1]/section[2],,
[PROP_CHANGED],,,class,<homepage-section>,section,/html/body/main[1]/section[2],<homepage-section collection-module>,section,/html/body/main[1]/section[2],,
[NODE_ADDED],div,/html/body/main[1]/section[2]/div[3],,,,,,,,,
[NODE_ADDED],div,/html/body/main[1]/section[2]/div[2],,,,,,,,,
[PROP_CHANGED],,,class,<js>,footer,/html/body/footer[1],<js flexbox>,footer,/html/body/footer[1],,
[NODE_ADDED],div,/html/body/main[1]/section[2]/div[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,ul,/html/body/main[1]/section[2]/ul[1]
[PROP_CHANGED],,,id,<section-heroes>,section,/html/body/main[1]/section[1],<>,section,/html/body/main[1]/section[1],,
[PROP_CHANGED],,,class,<homepage-section>,section,/html/body/main[1]/section[1],<homepage-section collection-module>,section,/html/body/main[1]/section[1],,
[NODE_ADDED],div,/html/body/main[1]/section[1]/div[2],,,,,,,,,
[NODE_ADDED],div,/html/body/main[1]/section[1]/div[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,ul,/html/body/main[1]/section[1]/ul[1]
[NODE_ADDED],div,/html/body/div[3],,,,,,,,,
[PROP_CHANGED],,,class,<js no-touch>,nav,/html/body/nav[1],<js no-touch no-windows>,nav,/html/body/nav[1],,
[NODE_ADDED],div,/html/body/nav[1]/div[1]/aside[1]/div[1]/div[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,a,/html/body/footer[1]/div[1]/section[1]/div[1]/span[1]/a[1]
[NODE_REMOVED],,,,,,,,,,form,/html/body/nav[1]/div[1]/aside[1]/div[1]/form[1]
[NODE_ADDED],div,/html/body/nav[1]/div[1]/ul[2]/li[10]/div[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[1]/div[1]/ul[2]/li[10]/a[1]
[PROP_CHANGED],,,id,<>,a,/html/body/nav[1]/div[1]/ul[2]/li[9]/a[1],<ac-gn-link-search>,a,/html/body/nav[1]/div[1]/ul[2]/li[9]/a[1],,
[NODE_REMOVED],,,,,,,,,,span,/html/body/nav[1]/div[1]/ul[2]/li[9]/a[1]/span[1]
[NODE_ADDED],div,/html/body/nav[1]/div[1]/div[1],,,,,,,,,
[NODE_ADDED],div,/html/body/nav[1]/div[1]/ul[1]/li[3]/div[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[1]/div[1]/ul[1]/li[3]/a[1]
[NODE_ADDED],h1,/html/body/h1[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,aside,/html/body/aside[1]
[NODE_ADDED],a,/html/body/footer[1]/div[1]/section[2]/div[1]/a[1],,,,,,,,,
[NODE_ADDED],div,/html/body/footer[1]/div[1]/nav[1]/div[5]/div[1],,,,,,,,,
