ChangedType,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath
[NODE_REMOVED],,,,,,,,,,a,/html/body/div[5]/div[2]/div[1]/div[2]/div[7]/div[1]/a[1]
[NODE_ADDED],div,/html/body/div[5]/div[2]/div[1]/div[2]/div[6],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,ul,/html/body/div[5]/div[2]/div[1]/div[2]/ul[2]
[NODE_ADDED],span,/html/body/div[5]/div[2]/div[1]/div[2]/div[5]/div[1]/dl[7]/dd[1]/p[1]/span[1],,,,,,,,,
[NODE_ADDED],span,/html/body/div[5]/div[2]/div[1]/div[2]/div[5]/div[1]/dl[6]/dd[1]/p[1]/span[1],,,,,,,,,
[NODE_ADDED],span,/html/body/div[5]/div[2]/div[1]/div[2]/div[5]/div[1]/dl[4]/dd[1]/p[1]/span[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,ul,/html/body/div[5]/div[2]/div[1]/div[2]/div[4]/div[2]/ul[2]
[PROP_CHANGED],,,id,<amazon-book-chart-hd>,li,/html/body/div[5]/div[2]/div[1]/div[2]/div[4]/div[2]/ul[1]/li[2],<jd-book-chart-hd>,li,/html/body/div[5]/div[2]/div[1]/div[2]/div[4]/div[2]/ul[1]/li[1],,
[NODE_REMOVED],,,,,,,,,,li,/html/body/div[5]/div[2]/div[1]/div[2]/div[4]/div[2]/ul[1]/li[1]
[NODE_ADDED],div,/html/body/div[6],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[2]/div[1]/div[2]/div[1]/div[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,iframe,/html/body/div[5]/div[2]/div[1]/div[2]/div[1]/iframe[1]
[PROP_CHANGED],,,id,<>,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[7],<reviews>,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[8],,
[PROP_CHANGED],,,class,<bd>,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[7]/div[2],<reviews-bd>,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[8]/div[2],,
