ChangedType,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[4]/div[3]
[PROP_CHANGED],,,id,<>,div,/html/body/div[4]/div[2],<gatsby-announcer>,div,/html/body/div[3]/div[2],,
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[4]/div[2]/div[8]
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[4]/div[2]/div[7]
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[4]/div[2]/div[6]
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[4]/div[2]/div[5]
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[4]/div[2]/div[4]
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[4]/div[2]/div[3]
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[4]/div[2]/div[2]
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[8]
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[4]/div[2]/div[1]
[PROP_CHANGED],,,id,<>,div,/html/body/div[4]/div[1],<gatsby-focus-wrapper>,div,/html/body/div[3]/div[1],,
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[4]/div[1]/div[1]
[NODE_REMOVED],,,,,,,,,,nav,/html/body/div[4]/nav[1]
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[1]
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[7]
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[6]
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[5]
[PROP_CHANGED],,,id,<>,div,/html/body/div[4],<___gatsby>,div,/html/body/div[3],,
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[4]/div[5]
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[4]/div[4]
