Api Content,Api Type
/html/body/div[4]/div[3],NODE_REMOVED
/html/body/div[4]/div[2],PROP_CHANGED
/html/body/div[4]/div[2],PROP_CHANGED
/html/body/div[4]/div[2]/div[8],NODE_REMOVED
/html/body/div[4]/div[2]/div[7],NODE_REMOVED
/html/body/div[4]/div[2]/div[6],NODE_REMOVED
/html/body/div[4]/div[2]/div[5],NODE_REMOVED
/html/body/div[4]/div[2]/div[4],NODE_REMOVED
/html/body/div[4]/div[2]/div[3],NODE_REMOVED
/html/body/div[4]/div[2]/div[2],NODE_REMOVED
/html/body/div[8],NODE_REMOVED
/html/body/div[4]/div[2]/div[1],NODE_REMOVED
/html/body/div[4]/div[1],PROP_CHANGED
/html/body/div[4]/div[1],PROP_CHANGED
/html/body/div[3]/div[1]/main[1],NODE_ADDED
/html/body/div[4]/div[1]/div[1],NODE_REMOVED
/html/body/div[4]/nav[1],NODE_REMOVED
/html/body/div[1],NODE_REMOVED
/html/body/div[7],NODE_REMOVED
/html/body/div[6],NODE_REMOVED
/html/body/div[5],NODE_REMOVED
/html/body/div[4],PROP_CHANGED
/html/body/div[4],PROP_CHANGED
/html/body/div[4]/div[5],NODE_REMOVED
/html/body/div[4]/div[4],NODE_REMOVED
