ChangedType,Dynamic?,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath,DOM,CV,Result,Vista,GroundTruth
[NODE_ADDED],Y,span,/html/body/section[1]/div[4]/div[1]/div[11]/section[1]/div[1]/div[1]/div[2]/div[1]/div[2]/span[1],,,,,,,,,,FP,,,,
[PROP_CHANGED],Y,,,id,<mod-card-17>,div,/html/body/section[1]/div[4]/div[1]/div[12]/section[1]/div[1]/div[1]/div[1],<mod-card-11>,div,/html/body/section[1]/div[4]/div[1]/div[11]/section[1]/div[1]/div[1]/div[1],,,FP,,,,
[NODE_ADDED],Y,a,/html/body/section[1]/div[4]/div[1]/div[11]/section[1]/div[1]/div[1]/div[1]/div[2]/a[1],,,,,,,,,,FP,,,,
[PROP_CHANGED],Y,,,class,<m-FeatureCard__a-Button>,a,/html/body/section[1]/div[4]/div[1]/div[12]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1],<a-Button a-Button m-FeatureCard__a-Button>,a,/html/body/section[1]/div[4]/div[1]/div[11]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1],,,FP,,,,
[NODE_ADDED],Y,span,/html/body/section[1]/div[4]/div[1]/div[11]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1]/span[1],,,,,,,,,,FP,,,,
[NODE_REMOVED],,,,,,,,,,,div,/html/body/section[1]/div[4]/div[1]/div[11],FP,FP,FP,FP,What's on TV div. U
[PROP_CHANGED],Y,,,class,<parbase storyPromo section>,div,/html/body/section[1]/div[4]/div[1]/div[10],<storyPromo section>,div,/html/body/section[1]/div[4]/div[1]/div[10],,,FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,div,/html/body/section[1]/div[4]/div[1]/div[10]/section[1]/div[1]/div[1]/div[1]/div[5],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,div,/html/body/section[1]/div[4]/div[1]/div[10]/section[1]/div[1]/div[1]/div[1]/div[4],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,div,/html/body/section[1]/div[4]/div[1]/div[10]/section[1]/div[1]/div[1]/div[1]/div[3],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,div,/html/body/section[1]/div[4]/div[1]/div[10]/section[1]/div[1]/div[1]/div[1]/div[2],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,div,/html/body/section[1]/div[4]/div[1]/div[10]/section[1]/div[1]/div[1]/div[1]/div[1],FP,,,,
[PROP_CHANGED],,,,class,<videoPlaylistEmbed parbase section>,div,/html/body/section[1]/div[4]/div[1]/div[9],<videoPlaylistEmbed section>,div,/html/body/section[1]/div[4]/div[1]/div[9],,,TP,FP,TP,TP,video div in the middle of What's New. U
[PROP_CHANGED],Y,,,class,<m-VideoPlayer__a-Button>,a,/html/body/section[1]/div[4]/div[1]/div[9]/section[1]/div[1]/div[1]/div[1]/div[1]/div[2]/a[1],<a-Button a-Button m-VideoPlayer__a-Button>,a,/html/body/section[1]/div[4]/div[1]/div[9]/section[1]/div[1]/div[1]/div[1]/div[1]/div[2]/a[1],,,FP,,,,
[NODE_ADDED],Y,span,/html/body/section[1]/div[4]/div[1]/div[9]/section[1]/div[1]/div[1]/div[1]/div[1]/div[2]/a[1]/span[1],,,,,,,,,,FP,,,,
[PROP_CHANGED],Y,,,id,<player64768>,div,/html/body/section[1]/div[4]/div[1]/div[9]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2],<player68687>,div,/html/body/section[1]/div[4]/div[1]/div[9]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2],,,FP,,,,
[PROP_CHANGED],Y,,,id,<player64768.controls>,div,/html/body/section[1]/div[4]/div[1]/div[9]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[9],<player68687.controls>,div,/html/body/section[1]/div[4]/div[1]/div[9]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[9],,,FP,,,,
