ChangedType,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath
[NODE_ADDED],span,/html/body/section[1]/div[4]/div[1]/div[11]/section[1]/div[1]/div[1]/div[2]/div[1]/div[2]/span[1],,,,,,,,,
[PROP_CHANGED],,,id,<mod-card-17>,div,/html/body/section[1]/div[4]/div[1]/div[12]/section[1]/div[1]/div[1]/div[1],<mod-card-11>,div,/html/body/section[1]/div[4]/div[1]/div[11]/section[1]/div[1]/div[1]/div[1],,
[NODE_ADDED],a,/html/body/section[1]/div[4]/div[1]/div[11]/section[1]/div[1]/div[1]/div[1]/div[2]/a[1],,,,,,,,,
[PROP_CHANGED],,,class,<m-FeatureCard__a-Button>,a,/html/body/section[1]/div[4]/div[1]/div[12]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1],<a-Button a-Button m-FeatureCard__a-Button>,a,/html/body/section[1]/div[4]/div[1]/div[11]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1],,
[NODE_ADDED],span,/html/body/section[1]/div[4]/div[1]/div[11]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1]/span[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[4]/div[1]/div[11]
[PROP_CHANGED],,,class,<parbase storyPromo section>,div,/html/body/section[1]/div[4]/div[1]/div[10],<storyPromo section>,div,/html/body/section[1]/div[4]/div[1]/div[10],,
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[4]/div[1]/div[10]/section[1]/div[1]/div[1]/div[1]/div[5]
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[4]/div[1]/div[10]/section[1]/div[1]/div[1]/div[1]/div[4]
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[4]/div[1]/div[10]/section[1]/div[1]/div[1]/div[1]/div[3]
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[4]/div[1]/div[10]/section[1]/div[1]/div[1]/div[1]/div[2]
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[4]/div[1]/div[10]/section[1]/div[1]/div[1]/div[1]/div[1]
[PROP_CHANGED],,,class,<videoPlaylistEmbed parbase section>,div,/html/body/section[1]/div[4]/div[1]/div[9],<videoPlaylistEmbed section>,div,/html/body/section[1]/div[4]/div[1]/div[9],,
[PROP_CHANGED],,,class,<m-VideoPlayer__a-Button>,a,/html/body/section[1]/div[4]/div[1]/div[9]/section[1]/div[1]/div[1]/div[1]/div[1]/div[2]/a[1],<a-Button a-Button m-VideoPlayer__a-Button>,a,/html/body/section[1]/div[4]/div[1]/div[9]/section[1]/div[1]/div[1]/div[1]/div[1]/div[2]/a[1],,
[NODE_ADDED],span,/html/body/section[1]/div[4]/div[1]/div[9]/section[1]/div[1]/div[1]/div[1]/div[1]/div[2]/a[1]/span[1],,,,,,,,,
