Api Content,Api Type
/html/body/section[1]/div[4]/div[1]/div[11],[NODE_REMOVED]
/html/body/section[1]/div[4]/div[1]/div[9],[PROP_CHANGED]
/html/body/section[1]/div[4]/div[1]/div[9]/section[1]/header[1],[NODE_ADDED]
/html/body/section[1]/div[4]/div[1]/div[3],[PROP_CHANGED]
/html/body/div[9],[PROP_CHANGED]
/html/body/section[1]/div[4]/div[1]/div[2],[PROP_CHANGED]
/html/body/section[1]/div[4]/div[1]/div[2]/section[1]/div[1]/div[1]/div[1]/div[3]/div[2]/span[1],[NODE_ADDED]
/html/body/section[1]/div[7],[PROP_CHANGED]
/html/body/section[1]/div[4]/div[1]/div[1],[PROP_CHANGED]
/html/body/section[1]/div[1],[PROP_CHANGED]
/html/body/section[1]/div[1]/header[1]/div[1]/div[3]/div[2],[NODE_REMOVED]
/html/body/section[1]/div[1]/header[1]/div[1]/div[3]/div[1]/ul[1]/li[6],[PROP_CHANGED]
/html/body/section[1]/div[1]/header[1]/div[1]/div[3]/div[1]/ul[1]/li[8]/a[1]/span[1],[NODE_ADDED]
/html/body/section[1]/div[7]/footer[1]/div[1]/div[1]/div[1]/ul[1]/li[3],[PROP_CHANGED]
/html/body/section[1]/div[1]/header[1]/div[1]/div[3]/div[1]/ul[1]/li[5],[PROP_CHANGED]
/html/body/section[1]/div[1]/header[1]/div[1]/div[3]/div[1]/ul[1]/li[2],[NODE_ADDED]
/html/body/section[1]/div[1]/header[1]/div[1]/div[3]/div[1]/ul[1]/li[1],[NODE_ADDED]
/html/body/div[4],[PROP_CHANGED]
/html/body/div[3],[PROP_CHANGED]
/html/body/div[2],[NODE_REMOVED]
/html/body/section[1]/div[7]/footer[1]/div[1]/div[1]/div[1]/ul[1]/li[1],[PROP_CHANGED]
/html/body/div[1],[NODE_REMOVED]
/html/body/section[1]/div[7]/footer[1]/div[1]/div[1]/div[1]/ul[1]/li[2],[NODE_ADDED]
/html/body/section[1]/div[7]/footer[1]/div[1]/div[1]/div[1]/ul[1]/li[1],[NODE_ADDED]
/html/body/section[1]/div[4]/div[1]/div[17],[PROP_CHANGED]
/html/body/section[1]/div[4]/div[1]/div[17]/div[1],[PROP_CHANGED]
/html/body/iframe[2],[NODE_ADDED]
/html/body/section[1]/div[4]/div[1]/div[17]/section[1],[PROP_CHANGED]
/html/body/section[1]/div[4]/div[1]/div[16],[PROP_CHANGED]
/html/body/section[1]/div[4]/div[1]/div[16]/div[1],[PROP_CHANGED]
/html/body/section[1]/div[4]/div[1]/div[16]/section[1],[PROP_CHANGED]
/html/body/section[1]/div[4]/div[1]/div[12]/section[1]/div[1]/header[1],[NODE_ADDED]
