ChangedType,Dynamic?,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath,DOM,CV,Result,Vista,GroundTruth
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[10],,,,,,,,,,TP,TP,TP,NA,HDX. A
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[9],,,,,,,,,,TP,TP,TP,NA,Stylewell A
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[8],,,,,,,,,,TP,TP,TP,NA,Everbilt. A
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[7],,,,,,,,,,TP,TP,TP,NA,Glacier. A
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[6],,,,,,,,,,TP,TP,TP,NA,Lifeproof. A
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[5],,,,,,,,,,TP,TP,TP,NA,Husky. A
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[4],,,,,,,,,,TP,TP,TP,NA,Hampton Bay. A
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[3],,,,,,,,,,TP,TP,TP,NA,Home. A
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[2],,,,,,,,,,FP,FP,FP,NA,blinds.com link->img. U
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[1],,,,,,,,,,FP,FP,FP,NA,company store link->img. U
[NODE_REMOVED],disabled div,,,,,,,,,,div,/html/body/div[5],TP,TP,TP,TP,invisible div. D
[PROP_CHANGED],,,,id,<>,li,/html/body/div[3]/div[3]/footer[1]/div[2]/nav[1]/ul[1]/li[1],<B2XCheckOrder>,li,/html/body/div[3]/div[7]/footer[1]/div[2]/nav[1]/ul[1]/li[2],,,FP,TP,TP,TP,Check Order Status <a> U
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/div[2]/nav[1]/ul[1]/li[1],,,,,,,,,,FP,TP,TP,NA,Check Order Status <li>
