ChangedType,Dynamic?,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[10],,,,,,,,,
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[9],,,,,,,,,
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[8],,,,,,,,,
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[7],,,,,,,,,
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[6],,,,,,,,,
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[5],,,,,,,,,
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[4],,,,,,,,,
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[3],,,,,,,,,
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[2],,,,,,,,,
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[1],,,,,,,,,
[NODE_REMOVED],disabled div,,,,,,,,,,div,/html/body/div[5]
[PROP_CHANGED],,,,id,<>,li,/html/body/div[3]/div[3]/footer[1]/div[2]/nav[1]/ul[1]/li[1],<B2XCheckOrder>,li,/html/body/div[3]/div[7]/footer[1]/div[2]/nav[1]/ul[1]/li[2],,
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/div[2]/nav[1]/ul[1]/li[1],,,,,,,,,
[NODE_ADDED],js div,div,/html/body/div[3]/div[6],,,,,,,,,
[NODE_ADDED],Y,div,/html/body/div[3]/div[5],,,,,,,,,
[NODE_ADDED],,div,/html/body/div[3]/div[4],,,,,,,,,
[NODE_ADDED],,div,/html/body/div[3]/div[3],,,,,,,,,
[PROP_CHANGED],Y,,,class,<>,div,/html/body/div[3]/div[2],<Header3>,div,/html/body/div[3]/div[2],,
[NODE_REMOVED],js div,,,,,,,,,,div,/html/body/div[3]/div[2]/div[22]
[PROP_CHANGED],,,,id,<>,div,/html/body/div[3]/div[2]/div[21],<myStore-wrapper>,div,/html/body/div[3]/div[2]/div[2],,
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[4]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[21]/div[1]/div[1]/div[1]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[20]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[19]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[18]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[17]
[NODE_ADDED],,li,/html/body/div[3]/div[7]/footer[1]/div[3]/div[1]/ul[1]/li[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[16]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[15]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[14]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[13]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[12]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[11]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[10]
[NODE_REMOVED],Y,,,,,,,,,,div,/html/body/div[3]/div[2]/div[9]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[8]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[7]
[NODE_ADDED],,img,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[15]/a[1]/img[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[6]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[5]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[4]
[NODE_REMOVED],Y,,,,,,,,,,div,/html/body/div[3]/div[2]/div[3]
[NODE_ADDED],,span,/html/body/div[3]/div[2]/span[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[2]/div[2]
[NODE_ADDED],,div,/html/body/div[3]/div[2]/div[1]/div[10],,,,,,,,,
[NODE_ADDED],,div,/html/body/div[3]/div[2]/div[1]/div[9],,,,,,,,,
[NODE_ADDED],,div,/html/body/div[3]/div[2]/div[1]/div[8],,,,,,,,,
[NODE_ADDED],invisible div:menu content,div,/html/body/div[3]/div[2]/div[1]/div[7],,,,,,,,,
[NODE_ADDED],,img,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[14]/a[1]/img[1],,,,,,,,,
[NODE_ADDED],invisible div:menu content,div,/html/body/div[3]/div[2]/div[1]/div[6],,,,,,,,,
[NODE_ADDED],invisible div:menu content,div,/html/body/div[3]/div[2]/div[1]/div[5],,,,,,,,,
[NODE_ADDED],,div,/html/body/div[3]/div[2]/div[1]/div[4],,,,,,,,,
[NODE_ADDED],disabled div:TypeAhead,div,/html/body/div[3]/div[2]/div[1]/div[3],,,,,,,,,
[NODE_ADDED],,div,/html/body/div[3]/div[2]/div[1]/div[2],,,,,,,,,
[PROP_CHANGED],,,,class,<col__12-12>,div,/html/body/div[3]/div[2]/div[1]/div[1],<grid hide show--sm>,div,/html/body/div[3]/div[2]/div[1]/div[1],,
[NODE_ADDED],,div,/html/body/div[3]/div[2]/div[1]/div[1]/div[1],,,,,,,,,
[PROP_CHANGED],Y,,,id,<>,div,/html/body/div[3]/div[1],<lpbuttondiv-hd>,div,/html/body/div[3]/div[1],,
[PROP_CHANGED],,,,id,<messageBar>,div,/html/body/div[3]/div[1]/div[3],<lpbuttondiv-global>,div,/html/body/div[3]/div[1]/div[1],,
[NODE_ADDED],,img,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[13]/a[1]/img[1],,,,,,,,,
[NODE_REMOVED],Y,,,,,,,,,,div,/html/body/div[3]/div[1]/div[2]
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[1]/div[1]
[NODE_REMOVED],,,,,,,,,,,cookiejar,/html/body/cookiejar[3]
[NODE_REMOVED],,,,,,,,,,,cookiejar,/html/body/cookiejar[2]
[NODE_REMOVED],,,,,,,,,,,cookiejar,/html/body/cookiejar[1]
[NODE_ADDED],,img,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[12]/a[1]/img[1],,,,,,,,,
[NODE_ADDED],,img,/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[11]/a[1]/img[1],,,,,,,,,
