Api Content,Api Type
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[10],[NODE_ADDED]
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[9],[NODE_ADDED]
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[8],[NODE_ADDED]
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[7],[NODE_ADDED]
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[6],[NODE_ADDED]
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[5],[NODE_ADDED]
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[4],[NODE_ADDED]
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[3],[NODE_ADDED]
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[2],[NODE_ADDED]
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[1],[NODE_ADDED]
/html/body/div[3]/div[3]/footer[1]/div[2]/nav[1]/ul[1]/li[1],[PROP_CHANGED]
/html/body/div[3]/div[7]/footer[1]/div[2]/nav[1]/ul[1]/li[1],[NODE_ADDED]
/html/body/div[3]/div[2]/div[21],[PROP_CHANGED]
/html/body/div[3]/div[2]/div[21]/div[1]/div[1]/div[1],[NODE_REMOVED]
/html/body/div[3]/div[2]/div[19],[NODE_REMOVED]
/html/body/div[3]/div[7]/footer[1]/div[3]/div[1]/ul[1]/li[1],[NODE_ADDED]
/html/body/div[3]/div[2]/div[13],[NODE_REMOVED]
/html/body/div[3]/div[2]/div[7],[NODE_REMOVED]
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[15]/a[1]/img[1],[NODE_ADDED]
/html/body/div[3]/div[2]/span[1],[NODE_ADDED]
/html/body/div[3]/div[2]/div[1]/div[10],[NODE_ADDED]
/html/body/div[3]/div[2]/div[1]/div[9],[NODE_ADDED]
/html/body/div[3]/div[2]/div[1]/div[8],[NODE_ADDED]
/html/body/div[3]/div[2]/div[1]/div[7],[NODE_ADDED]
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[14]/a[1]/img[1],[NODE_ADDED]
/html/body/div[3]/div[2]/div[1]/div[6],[NODE_ADDED]
/html/body/div[3]/div[2]/div[1]/div[5],[NODE_ADDED]
/html/body/div[3]/div[2]/div[1]/div[4],[NODE_ADDED]
/html/body/div[3]/div[2]/div[1]/div[3],[NODE_ADDED]
/html/body/div[3]/div[2]/div[1]/div[2],[NODE_ADDED]
/html/body/div[3]/div[2]/div[1]/div[1],[PROP_CHANGED]
/html/body/div[3]/div[2]/div[1]/div[1]/div[1],[NODE_ADDED]
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[13]/a[1]/img[1],[NODE_ADDED]
/html/body/div[3]/div[1]/div[1],[NODE_REMOVED]
/html/body/cookiejar[3],[NODE_REMOVED]
/html/body/cookiejar[2],[NODE_REMOVED]
/html/body/cookiejar[1],[NODE_REMOVED]
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[12]/a[1]/img[1],[NODE_ADDED]
/html/body/div[3]/div[7]/footer[1]/nav[1]/div[2]/ul[1]/li[11]/a[1]/img[1],[NODE_ADDED]
