ChangedType,Dynamic?,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath,DOM,CV,Result,Vista,GroundTruth
[NODE_ADDED],,br,/html/body/div[5]/div[1]/div[1]/div[3]/br[1],,,,,,,,,,TP,,,NA,<br> A
[PROP_CHANGED],Y,,,class,<rating-star allstar25>,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[14]/ul[1]/li[3]/span[1],<rating-star allstar40>,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[46]/ul[1]/li[3]/span[1],,,TP,,,,class=rating-star..U
[PROP_CHANGED],Y,,,class,<ui-slide-item s>,li,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[13],<ui-slide-item>,li,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[45],,,FP,,,,
[PROP_CHANGED],Y,,,class,<subject-rate>,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[13]/ul[1]/li[3]/span[2],<text-tip>,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[45]/ul[1]/li[3]/span[1],,,FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[13]/ul[1]/li[3]/span[1],FP,,,,class=rating-star. ???????????????
[PROP_CHANGED],Y,,,class,<subject-rate>,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[12]/ul[1]/li[3]/span[2],<text-tip>,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[44]/ul[1]/li[3]/span[1],,,FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[12]/ul[1]/li[3]/span[1],FP,,,,class=rating-star.
[PROP_CHANGED],Y,,,class,<rating-star allstar20>,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[9]/ul[1]/li[3]/span[1],<rating-star allstar30>,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[41]/ul[1]/li[3]/span[1],,,FP,,,,class=rating-star.
[PROP_CHANGED],Y,,,class,<subject-rate>,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[8]/ul[1]/li[3]/span[2],<text-tip>,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[40]/ul[1]/li[3]/span[1],,,FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[8]/ul[1]/li[3]/span[1],FP,,,,class=rating-star.
[PROP_CHANGED],Y,,,class,<subject-rate>,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[7]/ul[1]/li[3]/span[2],<text-tip>,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[39]/ul[1]/li[3]/span[1],,,FP,,,,
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[3]/div[9],,,,,,,,,,FP,TP,TP,NA,????div? U
[NODE_REMOVED],Y,,,,,,,,,,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[7]/ul[1]/li[3]/span[1],FP,,,,class=rating-star.
[NODE_ADDED],Y,span,/html/body/div[5]/div[1]/div[1]/div[2]/div[2]/div[2]/ul[1]/li[39]/ul[1]/li[2]/span[1],,,,,,,,,,FP,,,,class=new-show
