Api Content,Api Type
/html/body/div[5]/div[1]/div[1]/div[3]/div[9],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[8],[PROP_CHANGED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[8],[PROP_CHANGED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[8]/h2[1],[NODE_ADDED]
/html/body/div[4]/div[2]/a[1],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[8]/a[1],[NODE_REMOVED]
/html/body/div[4]/div[2]/div[1]/ul[1]/li[8],[PROP_CHANGED]
/html/body/div[4]/div[2]/div[1]/ul[1]/li[7],[PROP_CHANGED]
/html/body/div[4]/div[2]/div[1]/ul[1]/li[3],[PROP_CHANGED]
/html/body/div[4]/div[2]/div[1]/ul[1]/li[2],[PROP_CHANGED]
/html/body/div[3]/div[1]/div[2]/ul[1]/li[10]/div[1]/table[1]/tbody[1]/tr[2],[NODE_REMOVED]
/html/body/div[3]/div[1]/div[2]/ul[1]/li[10]/div[1]/table[1]/tbody[1]/tr[1],[NODE_REMOVED]
/html/body/div[3]/div[1]/div[3]/ul[1]/li[1],[NODE_ADDED]
/html/body/div[3]/div[1]/div[2],[NODE_ADDED]
/html/body/div[3]/div[1]/div[1]/a[2],[PROP_CHANGED]
/html/body/div[3]/div[1]/div[1]/a[1],[NODE_REMOVED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[7]/div[1],[PROP_CHANGED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[7]/div[1]/h2[1],[NODE_REMOVED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[6],[PROP_CHANGED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[6]/div[1],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[5]/div[1],[NODE_REMOVED]
/html/body/div[6]/ul[1],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[4],[PROP_CHANGED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[3],[PROP_CHANGED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[3]/ul[1],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[3]/h2[1],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[2],[PROP_CHANGED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[2]/div[1],[NODE_ADDED]
/html/body/div[6]/object[1],[NODE_REMOVED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[1]/ul[1],[NODE_ADDED]
/html/body/div[5]/div[2]/span[2]/a[1],[NODE_REMOVED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1],[PROP_CHANGED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/div[1],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[13],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/div[3],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/div[2]/h2[1],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/input[1],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/div[1]/h2[1],[NODE_REMOVED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/div[1]/div[1],[NODE_REMOVED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[12],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[4],[PROP_CHANGED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/div[4]/a[1],[NODE_REMOVED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/div[4]/div[1],[PROP_CHANGED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/div[3]/div[1]/div[2],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/div[3]/div[1]/div[1],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/div[3],[PROP_CHANGED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/div[2]/h2[1],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/div[2],[NODE_REMOVED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[11],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[2]/div[3]/iframe[1],[NODE_ADDED]
/html/body/div[5]/div[1]/div[1]/div[3]/div[10],[NODE_ADDED]
