ChangedType,Dynamic?,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath,DOM,CV,Result,Vista,GroundTruth
[NODE_ADDED],,a,/html/body/div[5]/div[2]/a[1],,,,,,,,,,TP,FP,TP,NA,A
[NODE_ADDED],,li,/html/body/div[4]/div[2]/div[1]/ul[1]/li[5],,,,,,,,,,FP,TP,TP,NA,??? U
[NODE_ADDED],,li,/html/body/div[4]/div[2]/div[1]/ul[1]/li[4],,,,,,,,,,TP,FP,TP,NA,?? A
[NODE_ADDED],,li,/html/body/div[4]/div[2]/div[1]/ul[1]/li[3],,,,,,,,,,TP,FP,TP,NA,????? A
[NODE_ADDED],,li,/html/body/div[4]/div[2]/div[1]/ul[1]/li[2],,,,,,,,,,TP,FP,TP,NA,??????? A
[NODE_ADDED],,li,/html/body/div[4]/div[2]/div[1]/ul[1]/li[1],,,,,,,,,,FP,TP,TP,NA,??? U
[NODE_REMOVED],,,,,,,,,,,tr,/html/body/div[3]/div[1]/div[2]/ul[1]/li[10]/div[1]/table[1]/tbody[1]/tr[2],TP,FN,TP,TP,invisible tr of ?? D
[NODE_REMOVED],,,,,,,,,,,tr,/html/body/div[3]/div[1]/div[2]/ul[1]/li[10]/div[1]/table[1]/tbody[1]/tr[1],TP,FN,TP,TP,invisible tr of ?? D
[PROP_CHANGED],,,,class,<on>,li,/html/body/div[3]/div[1]/div[2]/ul[1]/li[4],<>,li,/html/body/div[3]/div[1]/div[3]/ul[1]/li[5],,,FP,TP,TP,TP,?? U
[PROP_CHANGED],,,,class,<>,li,/html/body/div[3]/div[1]/div[2]/ul[1]/li[3],<on>,li,/html/body/div[3]/div[1]/div[3]/ul[1]/li[4],,,FP,TP,TP,TP,?? U
[NODE_ADDED],,li,/html/body/div[3]/div[1]/div[3]/ul[1]/li[1],,,,,,,,,,FP,TP,TP,NA,?? U
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[10],,,,,,,,,,TP,FN,TP,TP,invisible div. A
[NODE_ADDED],,div,/html/body/div[3]/div[1]/div[2],,,,,,,,,,TP,TP,TP,NA,??????? A
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[9],,,,,,,,,,TP,FP,TP,NA,???? A
[PROP_CHANGED],,,,class,<s>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[7],<artist-wx-qrcode-wrap>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[8],,,FP,TP,TP,FP,??fm???+???????? div U
[PROP_CHANGED],,,,class,<mobile-app-entrance block5 app-music>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[7]/div[1],<artist-wx-qrcode>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[8]/div[1],,,FP,TP,TP,FP,U
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[8]/div[1]/div[1],,,,,,,,,,TP,TP,TP,NA,???????? A
[NODE_REMOVED],,,,,,,,,,,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[7]/div[1]/a[2],TP,FP,TP,FP,???????? D
[NODE_ADDED],,img,/html/body/div[5]/div[1]/div[1]/div[2]/div[8]/div[1]/img[1],,,,,,,,,,TP,FP,TP,NA,????????img A
[NODE_REMOVED],,,,,,,,,,,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[7]/div[1]/a[1],FP,TP,TP,TP,??FM??? U
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[7],,,,,,,,,,FP,TP,TP,NA,??FM???
[NODE_REMOVED],,,,,,,,,,,iframe,/html/body/iframe[1],TP,FN,TP,FN,invisible iframe
[PROP_CHANGED],Y,,,class,<block5 movie_show>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[6],<rec-info>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[6],,,FP,,,,
[PROP_CHANGED],Y,,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[9]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[9]/dd[1]/a[1],,,FP,,,,
[PROP_CHANGED],Y,,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[8]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[8]/dd[1]/a[1],,,FP,,,,
[PROP_CHANGED],Y,,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[7]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[7]/dd[1]/a[1],,,FP,,,,
[PROP_CHANGED],Y,,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[6]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[6]/dd[1]/a[1],,,FP,,,,
[PROP_CHANGED],Y,,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[5]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[5]/dd[1]/a[1],,,FP,,,,
[PROP_CHANGED],Y,,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[4]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[4]/dd[1]/a[1],,,FP,,,,
[PROP_CHANGED],Y,,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[3]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[3]/dd[1]/a[1],,,FP,,,,
[PROP_CHANGED],Y,,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[2]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[2]/dd[1]/a[1],,,FP,,,,
[PROP_CHANGED],Y,,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[1]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[1]/dd[1]/a[1],,,FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,audio,/html/body/audio[1],FP,,,,
[PROP_CHANGED],Y,,,id,<song-chart>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[5],<>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[5],,,FP,,,,
[PROP_CHANGED],Y,,,class,<song-chart new-player>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[5],<hot-artist-songs>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[5],,,FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/ul[4],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/ul[3],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/ul[2],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/ul[1],FP,,,,
[NODE_REMOVED],,,,,,,,,,,h2,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/h2[1],TP,FP,TP,FP,????????? D
[PROP_CHANGED],,,,class,<newtags s>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[4],<tag-block>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[4],,,FP,FP,FP,FP,??????div D
[NODE_ADDED],,table,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/table[1],,,,,,,,,,TP,FP,TP,NA,???????table A
