ChangedType,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath
[NODE_ADDED],a,/html/body/div[5]/div[2]/a[1],,,,,,,,,
[NODE_ADDED],li,/html/body/div[4]/div[2]/div[1]/ul[1]/li[5],,,,,,,,,
[NODE_ADDED],li,/html/body/div[4]/div[2]/div[1]/ul[1]/li[4],,,,,,,,,
[NODE_ADDED],li,/html/body/div[4]/div[2]/div[1]/ul[1]/li[3],,,,,,,,,
[NODE_ADDED],li,/html/body/div[4]/div[2]/div[1]/ul[1]/li[2],,,,,,,,,
[NODE_ADDED],li,/html/body/div[4]/div[2]/div[1]/ul[1]/li[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,tr,/html/body/div[3]/div[1]/div[2]/ul[1]/li[10]/div[1]/table[1]/tbody[1]/tr[2]
[NODE_REMOVED],,,,,,,,,,tr,/html/body/div[3]/div[1]/div[2]/ul[1]/li[10]/div[1]/table[1]/tbody[1]/tr[1]
[PROP_CHANGED],,,class,<on>,li,/html/body/div[3]/div[1]/div[2]/ul[1]/li[4],<>,li,/html/body/div[3]/div[1]/div[3]/ul[1]/li[5],,
[PROP_CHANGED],,,class,<>,li,/html/body/div[3]/div[1]/div[2]/ul[1]/li[3],<on>,li,/html/body/div[3]/div[1]/div[3]/ul[1]/li[4],,
[NODE_ADDED],li,/html/body/div[3]/div[1]/div[3]/ul[1]/li[1],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[2]/div[10],,,,,,,,,
[NODE_ADDED],div,/html/body/div[3]/div[1]/div[2],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[2]/div[9],,,,,,,,,
[PROP_CHANGED],,,class,<s>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[7],<artist-wx-qrcode-wrap>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[8],,
[PROP_CHANGED],,,class,<mobile-app-entrance block5 app-music>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[7]/div[1],<artist-wx-qrcode>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[8]/div[1],,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[2]/div[8]/div[1]/div[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[7]/div[1]/a[2]
[NODE_ADDED],img,/html/body/div[5]/div[1]/div[1]/div[2]/div[8]/div[1]/img[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[7]/div[1]/a[1]
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[2]/div[7],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,iframe,/html/body/iframe[1]
[PROP_CHANGED],,,class,<block5 movie_show>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[6],<rec-info>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[6],,
[PROP_CHANGED],,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[9]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[9]/dd[1]/a[1],,
[PROP_CHANGED],,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[8]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[8]/dd[1]/a[1],,
[PROP_CHANGED],,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[7]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[7]/dd[1]/a[1],,
[PROP_CHANGED],,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[6]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[6]/dd[1]/a[1],,
[PROP_CHANGED],,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[5]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[5]/dd[1]/a[1],,
[PROP_CHANGED],,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[4]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[4]/dd[1]/a[1],,
[PROP_CHANGED],,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[3]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[3]/dd[1]/a[1],,
[PROP_CHANGED],,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[2]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[2]/dd[1]/a[1],,
[PROP_CHANGED],,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[1]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[1]/dd[1]/a[1],,
[NODE_REMOVED],,,,,,,,,,audio,/html/body/audio[1]
[PROP_CHANGED],,,id,<song-chart>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[5],<>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[5],,
[PROP_CHANGED],,,class,<song-chart new-player>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[5],<hot-artist-songs>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[5],,
[NODE_REMOVED],,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/ul[4]
[NODE_REMOVED],,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/ul[3]
[NODE_REMOVED],,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/ul[2]
[NODE_REMOVED],,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/ul[1]
[NODE_REMOVED],,,,,,,,,,h2,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/h2[1]
[PROP_CHANGED],,,class,<newtags s>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[4],<tag-block>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[4],,
[NODE_ADDED],table,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/table[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/ul[3]
[PROP_CHANGED],,,id,<SwfStore_dstat_0>,div,/html/body/div[7],<search_suggest>,div,/html/body/div[6],,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/div[3],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/ul[2]
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/div[2],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/ul[1]
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/div[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,h2,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/h2[1]
[PROP_CHANGED],,,id,<dale_music_home_top_right2>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[3],<>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[3],,
[NODE_ADDED],a,/html/body/div[5]/div[1]/div[1]/div[2]/div[3]/a[1],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[2]/div[3]/div[4],,,,,,,,,
[NODE_ADDED],ul,/html/body/div[6]/ul[1],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[2]/div[3]/div[3],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[2]/div[3]/div[2],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[2]/div[3]/div[1],,,,,,,,,
[PROP_CHANGED],,,id,<dale_music_home_top_right>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[2],<dale_music_home_top_right2>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[2],,
[PROP_CHANGED],,,id,<>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[1],<dale_music_home_top_right>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[1],,
[NODE_REMOVED],,,,,,,,,,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[1]/a[1]
[NODE_REMOVED],,,,,,,,,,p,/html/body/div[5]/div[1]/div[1]/div[2]/div[1]/p[2]
[NODE_REMOVED],,,,,,,,,,p,/html/body/div[5]/div[1]/div[1]/div[2]/div[1]/p[1]
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[7],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,object,/html/body/div[7]/object[1]
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[6],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[5],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[4],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[3],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[2],,,,,,,,,
[PROP_CHANGED],,,class,<>,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1],<slick top-banner slick-initialized slick-slider slick-dotted>,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1],,
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[5]
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[4]
[NODE_ADDED],ul,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/ul[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[3]
[NODE_ADDED],noscript,/html/body/noscript[1],,,,,,,,,
[NODE_ADDED],button,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/button[2],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[2]
[PROP_CHANGED],,,class,<clearfix hot_artists s>,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1],<slick-list draggable>,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1],,
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]
[PROP_CHANGED],,,class,<first_artist>,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1],<slick-track>,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1],,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[11],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[10],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[9],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[8],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[7],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,div,/html/body/div[6]
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[6],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[5],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4],,,,,,,,,
[NODE_ADDED],div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3],,,,,,,,,
[PROP_CHANGED],,,id,<>,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2],<slick-slide00>,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2],,
[PROP_CHANGED],,,class,<ll name>,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2],<slick-slide>,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2],,
[NODE_REMOVED],,,,,,,,,,br,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/br[2]
[NODE_REMOVED],,,,,,,,,,br,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/br[1]
[NODE_ADDED],a,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/a[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,span,/html/body/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/span[1]
