ChangedType,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath
[PROP_CHANGED],,,class,<>,div,/html/body/div[11],<clearfix>,div,/html/body/div[14],,
[NODE_ADDED],li,/html/body/div[4]/div[1]/nav[1]/ul[1]/li[5]/div[1]/ul[3]/li[2],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,span,/html/body/div[4]/div[1]/nav[1]/ul[1]/li[3]/div[1]/ul[2]/div[1]/a[1]/span[1]
[PROP_CHANGED],,,class,<>,div,/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1],<repos>,div,/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1],,
[NODE_ADDED],ul,/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[3],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,ul,/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[2]/ul[2]
[NODE_REMOVED],,,,,,,,,,li,/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[2]/li[6]
[NODE_REMOVED],,,,,,,,,,li,/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[2]/li[5]
[NODE_REMOVED],,,,,,,,,,li,/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[2]/li[4]
[NODE_ADDED],li,/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[2]/ul[1]/li[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,li,/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[2]/li[2]
[PROP_CHANGED],,,class,<bot-promos>,div,/html/body/div[10],<usps-updates>,div,/html/body/div[13],,
[NODE_REMOVED],,,,,,,,,,li,/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[2]/li[1]
[PROP_CHANGED],,,class,<homepage-rotating-photo-container>,div,/html/body/div[10]/div[1],<container-fluid>,div,/html/body/div[13]/div[1],,
[PROP_CHANGED],,,class,<secondImage>,div,/html/body/div[10]/div[1]/div[2],<row justify-content-center align-top>,div,/html/body/div[13]/div[1]/div[2],,
[NODE_ADDED],a,/html/body/div[13]/div[1]/div[2]/div[3]/p[2]/a[1],,,,,,,,,
[NODE_ADDED],p,/html/body/div[13]/div[1]/div[2]/div[3]/p[1],,,,,,,,,
[NODE_ADDED],h3,/html/body/div[13]/div[1]/div[2]/div[3]/h3[1],,,,,,,,,
[NODE_ADDED],noscript,/html/body/noscript[4],,,,,,,,,
[PROP_CHANGED],,,class,<secondImageContentWrapper>,div,/html/body/div[10]/div[1]/div[2]/div[2],<col-12 col-sm-12 col-md-12 col-lg-4 text-left article>,div,/html/body/div[13]/div[1]/div[2]/div[2],,
[PROP_CHANGED],,,class,<imageText>,p,/html/body/div[10]/div[1]/div[2]/div[2]/p[1],<>,p,/html/body/div[13]/div[1]/div[2]/div[2]/p[2],,
[NODE_ADDED],a,/html/body/div[13]/div[1]/div[2]/div[2]/p[2]/a[1],,,,,,,,,
[NODE_ADDED],p,/html/body/div[13]/div[1]/div[2]/div[2]/p[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,h2,/html/body/div[10]/div[1]/div[2]/div[2]/h2[1]
[NODE_ADDED],noscript,/html/body/noscript[3],,,,,,,,,
[NODE_ADDED],h3,/html/body/div[13]/div[1]/div[2]/div[2]/h3[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,a,/html/body/div[10]/div[1]/div[2]/div[2]/a[1]
[PROP_CHANGED],,,class,<secondImageContentWrapper chosen>,div,/html/body/div[10]/div[1]/div[2]/div[1],<col-12 col-sm-12 col-md-12 col-lg-4 text-left article>,div,/html/body/div[13]/div[1]/div[2]/div[1],,
[PROP_CHANGED],,,class,<imageText>,p,/html/body/div[10]/div[1]/div[2]/div[1]/p[1],<>,p,/html/body/div[13]/div[1]/div[2]/div[1]/p[2],,
[NODE_ADDED],a,/html/body/div[13]/div[1]/div[2]/div[1]/p[2]/a[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,span,/html/body/div[10]/div[1]/div[2]/div[1]/p[1]/span[1]
[NODE_ADDED],p,/html/body/div[13]/div[1]/div[2]/div[1]/p[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,h2,/html/body/div[10]/div[1]/div[2]/div[1]/h2[1]
[NODE_ADDED],h3,/html/body/div[13]/div[1]/div[2]/div[1]/h3[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,a,/html/body/div[10]/div[1]/div[2]/div[1]/a[1]
[NODE_ADDED],noscript,/html/body/noscript[2],,,,,,,,,
[PROP_CHANGED],,,class,<firstImage>,div,/html/body/div[10]/div[1]/div[1],<row justify-content-center align-items-center>,div,/html/body/div[13]/div[1]/div[1],,
[PROP_CHANGED],,,class,<firstImageContentWrapper chosen>,div,/html/body/div[10]/div[1]/div[1]/div[1],<col-12 col-sm-12 col-md-12 text-lg-center text-md-left>,div,/html/body/div[13]/div[1]/div[1]/div[1],,
[NODE_REMOVED],,,,,,,,,,p,/html/body/div[10]/div[1]/div[1]/div[1]/p[1]
[PROP_CHANGED],,,class,<imageHeader>,h2,/html/body/div[10]/div[1]/div[1]/div[1]/h2[1],<header-2>,h2,/html/body/div[13]/div[1]/div[1]/div[1]/h2[1],,
[NODE_REMOVED],,,,,,,,,,a,/html/body/div[10]/div[1]/div[1]/div[1]/a[1]
[NODE_ADDED],div,/html/body/div[12],,,,,,,,,
[NODE_ADDED],div,/html/body/div[11],,,,,,,,,
[NODE_ADDED],div,/html/body/div[10],,,,,,,,,
[PROP_CHANGED],,,class,<mobile-panels>,div,/html/body/div[9],<featured-usps>,div,/html/body/div[9],,
