ChangedType,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath,Dynamic?,DOM,CV,Result,Vista,GroundTruth
[PROP_CHANGED],,,class,<fa fa-thumbs-o-up fa-2x>,i,/html/body/div[6]/footer[1]/a[2]/i[1],<fa fa-thumbs-o-up w3-xxlarge>,i,/html/body/div[9]/footer[1]/a[1]/i[1],,,,TP,FN,TP,FP,bottom i. U
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[9]/span[2],,,,,,,,,,Y,FP,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[9]/span[1],,,,,,,,,,Y,FP,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[8]/span[2],,,,,,,,,,Y,FP,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[8]/span[1],,,,,,,,,,Y,FP,,,,
[PROP_CHANGED],,,class,<>,a,/html/body/div[6]/footer[1]/p[1]/a[3],<w3-hover-text-green>,a,/html/body/div[9]/footer[1]/p[1]/a[3],,,,TP,TP,TP,FP,copyright 1999-2016. U
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[7]/span[2],,,,,,,,,,Y,FP,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[7]/span[1],,,,,,,,,,Y,FP,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[6]/span[2],,,,,,,,,,Y,FP,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[6]/span[1],,,,,,,,,,Y,FP,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[5]/span[2],,,,,,,,,,Y,FP,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[5]/span[1],,,,,,,,,,Y,FP,,,,
[PROP_CHANGED],,,class,<>,a,/html/body/div[6]/footer[1]/p[1]/a[2],<w3-hover-text-green>,a,/html/body/div[9]/footer[1]/p[1]/a[2],,,,TP,TP,TP,FP,cookie and privacy policy. U
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[4]/span[2],,,,,,,,,,Y,FP,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[4]/span[1],,,,,,,,,,Y,FP,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[3]/span[2],,,,,,,,,,Y,FP,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[3]/span[1],,,,,,,,,,Y,FP,,,,
[PROP_CHANGED],,,class,<>,a,/html/body/div[6]/footer[1]/p[1]/a[1],<w3-hover-text-green>,a,/html/body/div[9]/footer[1]/p[1]/a[1],,,,TP,TP,TP,FN,terms of use. U
[NODE_ADDED],h3,/html/body/div[9]/div[1]/div[2]/div[1]/h3[1],,,,,,,,,,,FP,TP,TP,NA,HTML Example. U
[NODE_REMOVED],,,,,,,,,,h4,/html/body/div[6]/div[1]/div[2]/div[1]/h4[1],,FP,,,,HTML Example.
[PROP_CHANGED],,,class,<w3-col l6 w3-center section>,div,/html/body/div[6]/div[1]/div[1],<w3-col l6 w3-center>,div,/html/body/div[9]/div[1]/div[1],,,,TP,TP,TP,FP,HTML... U
[PROP_CHANGED],,,class,<w3-btn sectionbtn>,a,/html/body/div[6]/div[1]/div[1]/a[2],<w3-button w3-dark-grey>,a,/html/body/div[9]/div[1]/div[1]/a[2],,,,TP,TP,TP,TP,HTML Reference. U
[PROP_CHANGED],,,class,<w3-btn sectionbtn>,a,/html/body/div[6]/div[1]/div[1]/a[1],<w3-button w3-dark-grey>,a,/html/body/div[9]/div[1]/div[1]/a[1],,,,TP,TP,TP,TP,Learn HTML. U
[PROP_CHANGED],,,class,<>,p,/html/body/div[6]/div[1]/div[1]/p[1],<w3-xlarge w3-text-dark-grey>,p,/html/body/div[9]/div[1]/div[1]/p[1],,,,TP,TP,TP,FP,The language for building.... U
[PROP_CHANGED],,,id,<sidemenu>,nav,/html/body/nav[6],<nav_exercises>,nav,/html/body/nav[5],,,,FP,FN,FN,FP,U.
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[27],,TP,TP,TP,FP,learn ajax. D
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[26],,FP,FN,FN,FP,learn xslt. U
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[25],,FP,FN,FN,FP,learn xml. U
[NODE_REMOVED],,,,,,,,,,h2,/html/body/nav[6]/h2[6],,FP,FN,FN,FP,XML Tutorials. U
[NODE_REMOVED],,,,,,,,,,nav,/html/body/div[6]/footer[1]/nav[1],,FP,TP,TP,FP,Forum|About. U
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[24],,FP,FN,FN,FP,web certificates in nav. U
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[23],,FP,FN,FN,TP,web statistics. U
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[22],,TP,TP,TP,FP,web building .D
[NODE_REMOVED],,,,,,,,,,h2,/html/body/nav[6]/h2[5],,FP,FN,FN,FP,Web Building h2 .U
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[21],,TP,TP,TP,FP,learn asp.net D
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[20],,FP,FN,FN,FP,learn asp U
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[19],,FP,FN,FN,FP,learn php. U
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[18],,FP,FN,FN,FP,learn sql. U
[NODE_REMOVED],,,,,,,,,,h2,/html/body/nav[6]/h2[4],,FP,TP,TP,FP,Server Side. U
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[17],,TP,TP,TP,FP,learn html games. D
[NODE_REMOVED],,,,,,,,,,br,/html/body/div[6]/footer[1]/br[1],,TP,TP,TP,TP,D
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[16],,TP,TP,TP,FP,learn google maps. D
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[15],,FP,FN,FN,FP,learn icons. U
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[14],,TP,TP,TP,FP,learn svg. D
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[13],,TP,TP,TP,FP,learn canvas. D
[NODE_REMOVED],,,,,,,,,,h2,/html/body/nav[6]/h2[3],,TP,TP,TP,TP,Html Graphics. D
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[12],,FP,FN,FN,FP,learn json. U
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[11],,FP,FN,FN,FP,learn anularjs. U
