ChangedType,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath
[PROP_CHANGED],,,class,<fa fa-thumbs-o-up fa-2x>,i,/html/body/div[6]/footer[1]/a[2]/i[1],<fa fa-thumbs-o-up w3-xxlarge>,i,/html/body/div[9]/footer[1]/a[1]/i[1],,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[9]/span[2],,,,,,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[9]/span[1],,,,,,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[8]/span[2],,,,,,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[8]/span[1],,,,,,,,,
[PROP_CHANGED],,,class,<>,a,/html/body/div[6]/footer[1]/p[1]/a[3],<w3-hover-text-green>,a,/html/body/div[9]/footer[1]/p[1]/a[3],,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[7]/span[2],,,,,,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[7]/span[1],,,,,,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[6]/span[2],,,,,,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[6]/span[1],,,,,,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[5]/span[2],,,,,,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[5]/span[1],,,,,,,,,
[PROP_CHANGED],,,class,<>,a,/html/body/div[6]/footer[1]/p[1]/a[2],<w3-hover-text-green>,a,/html/body/div[9]/footer[1]/p[1]/a[2],,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[4]/span[2],,,,,,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[4]/span[1],,,,,,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[3]/span[2],,,,,,,,,
[NODE_ADDED],span,/html/body/div[9]/div[1]/div[2]/div[1]/div[1]/span[3]/span[1],,,,,,,,,
