ChangedType,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath
[PROP_CHANGED],,,class,<promo-grid promo-grid--secondary>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[3],<info x-ui-theme--light>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[4],,
[PROP_CHANGED],,,class,<x-flex>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1],<x-content>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1],,
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1]/div[6]
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1]/div[5]
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1]/div[4]
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1]/div[3]
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1]/div[2]
[PROP_CHANGED],,,class,<>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1]/div[1],<x-flex-row center-xs>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1],,
[NODE_ADDED],div,/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1]/div[3],,,,,,,,,
[PROP_CHANGED],,,id,<>,iframe,/html/body/iframe[1],<polarisIframe>,iframe,/html/body/iframe[1],,
[NODE_ADDED],div,/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1]/div[2]/div[5],,,,,,,,,
[NODE_ADDED],div,/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1]/div[2]/div[4],,,,,,,,,
[NODE_ADDED],div,/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1]/div[2]/div[3],,,,,,,,,
[NODE_ADDED],div,/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1]/div[2]/div[2],,,,,,,,,
[NODE_ADDED],div,/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1]/div[2]/div[1],,,,,,,,,
[NODE_ADDED],div,/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1]/div[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,a,/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1]/div[1]/a[1]
[NODE_ADDED],div,/html/body/div[8],,,,,,,,,
[PROP_CHANGED],,,id,<>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[2],<skywalker-two-up-tile>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[3],,
[PROP_CHANGED],,,class,<x-flex>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[2]/div[1],<lazyload-placeholder>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1],,
[NODE_ADDED],div,/html/body/section[1]/div[1]/main[1]/section[2]/div[2],,,,,,,,,
[PROP_CHANGED],,,id,<>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1],<drive--0a8d05cd-c462-4d01-90ae-6db37ce0b1bb>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1],,
[PROP_CHANGED],,,class,<x-ui-theme--grey>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1],<drive-banner x-ui-theme--light>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1],,
[PROP_CHANGED],,,class,<shop-deals-wrap>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1],<drive-banner__wrap x-flex-row center-xs>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1],,
[PROP_CHANGED],,,class,<shop-deals x-flex>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1],<x-flex__col-xs-12 x-flex__col-lg-6>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1],,
[PROP_CHANGED],,,class,<x-flex__col-xs-12 x-flex__col-lg-8 x-flex>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[2],<drive-banner__action>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[3],,
[PROP_CHANGED],,,class,<shop-deals__cta>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2],<drive-banner__cta-container>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[2],,
[NODE_ADDED],div,/html/body/div[7],,,,,,,,,
[PROP_CHANGED],,,class,<x-button--solid>,a,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/a[1],<df-button-secondary>,a,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[2]/a[1],,
[PROP_CHANGED],,,class,<shop-deals__multi-list x-flex__col-lg-8 x-flex>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1],<drive-banner__cta-container>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1],,
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[4]
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[3]
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[2]
[NODE_ADDED],a,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/a[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]
[NODE_ADDED],div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[2],,,,,,,,,
[PROP_CHANGED],,,class,<x-flex__col-xs-12 x-flex__col-lg-4>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[1],<drive-banner__heading x-heading1>,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[1],,
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]
[NODE_ADDED],div,/html/body/div[6],,,,,,,,,
[PROP_CHANGED],,,class,<promo-hero__inner>,div,/html/body/section[1]/div[1]/main[1]/section[1]/section[1]/div[1]/div[1],<promo-hero__inner x--bg-c-c>,div,/html/body/section[1]/div[1]/main[1]/section[1]/section[1]/div[1]/div[1],,
[NODE_REMOVED],,,,,,,,,,div,/html/body/section[1]/div[1]/main[1]/section[1]/section[1]/div[1]/div[1]/div[2]/div[1]
[PROP_CHANGED],,,class,<x-flex center-xs end-md>,div,/html/body/section[1]/div[1]/main[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1],<x-flex center-xs start-md>,div,/html/body/section[1]/div[1]/main[1]/section[1]/section[1]/div[1]/div[1]/div[3]/div[1]/div[1],,
[PROP_CHANGED],,,class,<promo-hero__motion promo-hero__motion--fade-in>,div,/html/body/section[1]/div[1]/main[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2],<promo-hero__motion promo-hero__motion--slide-in-top>,div,/html/body/section[1]/div[1]/main[1]/section[1]/section[1]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[2],,
[NODE_REMOVED],,,,,,,,,,img,/html/body/section[1]/div[1]/main[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/img[1]
[NODE_ADDED],strong,/html/body/section[1]/div[1]/main[1]/section[1]/section[1]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/strong[1],,,,,,,,,
[NODE_ADDED],div,/html/body/section[1]/div[1]/main[1]/section[1]/section[1]/div[1]/div[1]/div[2],,,,,,,,,
[NODE_ADDED],div,/html/body/section[1]/div[1]/main[1]/section[1]/section[1]/div[1]/div[1]/div[1],,,,,,,,,
[NODE_ADDED],div,/html/body/section[1]/div[1]/main[1]/section[1]/div[1],,,,,,,,,
[PROP_CHANGED],,,class,<polaris-nav polarisSub>,div,/html/body/section[1]/div[1]/header[1]/div[2],<xc-polaris-secondary xc-polarisSub>,div,/html/body/section[1]/div[1]/header[1]/div[1],,
[NODE_ADDED],xc-footer,/html/body/section[1]/footer[1]/xc-footer[1],,,,,,,,,
[NODE_ADDED],span,/html/body/section[1]/div[1]/header[1]/div[1]/span[1],,,,,,,,,
[PROP_CHANGED],,,class,<polarisSub-inner>,div,/html/body/section[1]/div[1]/header[1]/div[2]/div[1],<xc-polaris-secondary--content>,div,/html/body/section[1]/div[1]/header[1]/div[1]/div[1],,
[PROP_CHANGED],,,class,<polarisSub-content polarisSub-content--utility>,div,/html/body/section[1]/div[1]/header[1]/div[2]/div[1]/div[2],<xc-polarisSub-content xc-polarisSub-content--utility>,div,/html/body/section[1]/div[1]/header[1]/div[1]/div[1]/div[1],,
