Api Content,Api Type
/html/body/form[1],NODE_ADDED
/html/body/main[1]/section[8]/div[1]/div[1]/div[4],NODE_ADDED
/html/body/main[1]/section[8]/div[1]/div[1]/ul[4],NODE_REMOVED
/html/body/main[1]/section[8]/div[1]/div[1]/div[3],NODE_ADDED
/html/body/main[1]/section[8]/div[1]/div[1]/ul[3],NODE_REMOVED
/html/body/main[1]/section[8]/div[1]/div[1]/div[2],NODE_ADDED
/html/body/main[1]/section[8]/div[1]/div[1]/ul[2],NODE_REMOVED
/html/body/main[1]/section[8]/div[1]/div[1]/div[1],NODE_ADDED
/html/body/main[1]/section[8]/div[1]/div[1]/ul[1],NODE_REMOVED
/html/body/main[1]/section[8]/div[1]/icon[1],NODE_ADDED
/html/body/footer[1]/ul[1]/li[10]/div[1],PROP_CHANGED
/html/body/main[1]/section[8]/div[1]/li-icon[1],NODE_REMOVED
/html/body/main[1]/section[6]/div[1]/div[1]/iframe[1],PROP_CHANGED
/html/body/main[1]/section[5],PROP_CHANGED
/html/body/main[1]/section[5]/div[1],PROP_CHANGED
/html/body/main[1]/section[5]/div[1]/img[1],NODE_REMOVED
/html/body/main[1]/section[5]/div[1]/div[1],PROP_CHANGED
/html/body/main[1]/section[5]/div[1]/div[1]/ul[1],NODE_REMOVED
/html/body/main[1]/section[5]/div[1]/div[1]/div[1],NODE_ADDED
/html/body/main[1]/section[5]/div[1]/div[1]/h3[1],NODE_REMOVED
/html/body/main[1]/section[5]/div[1]/div[1]/img[1],NODE_ADDED
/html/body/footer[1]/ul[1]/li[11]/div[1]/button[1],NODE_ADDED
/html/body/main[1]/section[5]/div[1]/div[1]/h2[1],NODE_REMOVED
/html/body/main[1]/div[1],NODE_ADDED
/html/body/main[1]/section[4],PROP_CHANGED
/html/body/main[1]/section[4]/div[1],PROP_CHANGED
/html/body/main[1]/section[4]/div[1]/a[1],NODE_ADDED
/html/body/main[1]/section[4]/div[1]/div[2],NODE_REMOVED
/html/body/main[1]/section[4]/div[1]/h2[1],NODE_ADDED
/html/body/main[1]/section[4]/div[1]/div[1],NODE_REMOVED
/html/body/main[1]/section[3],PROP_CHANGED
/html/body/main[1]/section[3]/div[1],PROP_CHANGED
/html/body/footer[1]/ul[1]/li[11]/div[1]/ul[1],NODE_ADDED
/html/body/main[1]/section[3]/div[1]/div[2],NODE_ADDED
/html/body/main[1]/section[3]/div[1]/a[1],NODE_REMOVED
/html/body/main[1]/section[3]/div[1]/div[1],NODE_ADDED
/html/body/main[1]/section[3]/div[1]/h2[1],NODE_REMOVED
/html/body/main[1]/section[2],PROP_CHANGED
/html/body/main[1]/section[2]/div[1],PROP_CHANGED
/html/body/main[1]/section[2]/div[1]/section[1],NODE_ADDED
/html/body/main[1]/section[2]/div[1]/div[2],NODE_REMOVED
/html/body/main[1]/section[2]/div[1]/div[1],PROP_CHANGED
/html/body/main[1]/section[2]/div[1]/div[1]/div[1],NODE_ADDED
/html/body/footer[1]/ul[1]/li[10]/div[1]/div[1],NODE_REMOVED
/html/body/main[1]/section[2]/div[1]/div[1]/h2[1],NODE_REMOVED
/html/body/main[1]/section[1]/div[2],NODE_ADDED
/html/body/main[1]/section[1]/code[11],NODE_ADDED
/html/body/main[1]/section[1]/code[10],NODE_ADDED
/html/body/main[1]/section[1]/code[9],NODE_ADDED
/html/body/main[1]/section[1]/code[8],NODE_ADDED
/html/body/main[1]/section[1]/code[7],NODE_ADDED
/html/body/main[1]/section[1]/code[6],NODE_ADDED
/html/body/main[1]/section[1]/code[5],NODE_ADDED
/html/body/main[1]/section[1]/code[4],NODE_ADDED
/html/body/footer[1]/ul[1]/li[1]/span[1],NODE_REMOVED
/html/body/main[1]/section[1]/code[3],NODE_ADDED
/html/body/main[1]/section[1]/code[2],NODE_ADDED
/html/body/main[1]/section[1]/code[1],NODE_ADDED
/html/body/main[1]/section[1]/section[1],NODE_REMOVED
/html/body/main[1]/section[1]/div[1],PROP_CHANGED
/html/body/main[1]/section[1]/div[1]/img[2],PROP_CHANGED
/html/body/main[1]/section[1]/div[1]/img[1],PROP_CHANGED
/html/body/nav[1]/section[2],NODE_REMOVED
/html/body/nav[1]/section[1],NODE_REMOVED
/html/body/nav[1]/a[1]/icon[1],NODE_ADDED
/html/body/footer[1]/ul[1]/li[2]/a[1],NODE_ADDED
/html/body/nav[1]/a[1]/span[1],NODE_ADDED
/html/body/nav[1]/a[2]/li-icon[1],NODE_REMOVED
/html/body/nav[1]/h2[1],NODE_REMOVED
/html/body/nav[1]/a[1],NODE_REMOVED
/html/body/footer[1]/ul[1]/li[1]/li-icon[1],NODE_REMOVED
/html/body/footer[1]/ul[1]/li[1],NODE_ADDED
