Api Content,Api Type
/html/body/div[11],[PROP_CHANGED]
/html/body/div[4]/div[1]/nav[1]/ul[1]/li[5]/div[1]/ul[3]/li[2],[NODE_ADDED]
/html/body/div[4]/div[1]/nav[1]/ul[1]/li[3]/div[1]/ul[2]/div[1]/a[1]/span[1],[NODE_REMOVED]
/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1],[PROP_CHANGED]
/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[3],[NODE_ADDED]
/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[2]/ul[2],[NODE_REMOVED]
/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[2]/li[6],[NODE_REMOVED]
/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[2]/li[5],[NODE_REMOVED]
/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[2]/li[4],[NODE_REMOVED]
/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[2]/ul[1]/li[1],[NODE_ADDED]
/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[2]/li[2],[NODE_REMOVED]
/html/body/div[4]/div[1]/nav[1]/ul[1]/li[2]/div[1]/ul[2]/li[1],[NODE_REMOVED]
/html/body/div[13]/div[1]/div[2]/div[3]/p[2]/a[1],[NODE_ADDED]
/html/body/div[13]/div[1]/div[2]/div[3]/p[1],[NODE_ADDED]
/html/body/div[13]/div[1]/div[2]/div[3]/h3[1],[NODE_ADDED]
/html/body/noscript[4],[NODE_ADDED]
/html/body/div[10]/div[1]/div[2]/div[2]/p[1],[PROP_CHANGED]
/html/body/div[13]/div[1]/div[2]/div[2]/p[2]/a[1],[NODE_ADDED]
/html/body/div[13]/div[1]/div[2]/div[2]/p[1],[NODE_ADDED]
/html/body/div[10]/div[1]/div[2]/div[2]/h2[1],[NODE_REMOVED]
/html/body/noscript[3],[NODE_ADDED]
/html/body/div[13]/div[1]/div[2]/div[2]/h3[1],[NODE_ADDED]
/html/body/div[10]/div[1]/div[2]/div[2]/a[1],[NODE_REMOVED]
/html/body/div[13]/div[1]/div[2]/div[1]/p[2]/a[1],[NODE_ADDED]
/html/body/div[10]/div[1]/div[2]/div[1]/p[1]/span[1],[NODE_REMOVED]
/html/body/div[13]/div[1]/div[2]/div[1]/p[1],[NODE_ADDED]
/html/body/div[10]/div[1]/div[2]/div[1]/h2[1],[NODE_REMOVED]
/html/body/div[13]/div[1]/div[2]/div[1]/h3[1],[NODE_ADDED]
/html/body/div[10]/div[1]/div[2]/div[1]/a[1],[NODE_REMOVED]
/html/body/noscript[2],[NODE_ADDED]
/html/body/div[10]/div[1]/div[1]/div[1],[PROP_CHANGED]
/html/body/div[10]/div[1]/div[1]/div[1]/p[1],[NODE_REMOVED]
/html/body/div[10]/div[1]/div[1]/div[1]/h2[1],[PROP_CHANGED]
/html/body/div[10]/div[1]/div[1]/div[1]/a[1],[NODE_REMOVED]
/html/body/div[12],[NODE_ADDED]
/html/body/div[11],[NODE_ADDED]
/html/body/div[10],[NODE_ADDED]
/html/body/div[9],[PROP_CHANGED]
/html/body/img[1],[NODE_ADDED]
/html/body/div[9]/div[3],[NODE_REMOVED]
/html/body/div[9]/div[2],[NODE_REMOVED]
/html/body/div[9]/div[1],[PROP_CHANGED]
/html/body/div[9]/div[1]/div[5],[NODE_ADDED]
/html/body/div[9]/div[1]/div[2],[PROP_CHANGED]
/html/body/div[9]/div[1]/div[2]/span[2],[NODE_REMOVED]
/html/body/div[9]/div[1]/div[4]/div[2],[NODE_ADDED]
/html/body/div[9]/div[1]/div[2]/span[1],[NODE_REMOVED]
/html/body/div[9]/div[1]/div[4]/div[1],[NODE_ADDED]
/html/body/div[9]/div[1]/div[2]/p[1],[NODE_REMOVED]
/html/body/div[16],[NODE_ADDED]
/html/body/div[9]/div[1]/div[3],[NODE_ADDED]
/html/body/div[9]/div[1]/p[2],[NODE_REMOVED]
/html/body/div[9]/div[1]/div[2],[NODE_ADDED]
/html/body/div[9]/div[1]/p[1],[NODE_REMOVED]
/html/body/div[9]/div[1]/div[1],[PROP_CHANGED]
/html/body/div[9]/div[1]/div[1]/div[1],[NODE_ADDED]
/html/body/section[2],[NODE_ADDED]
/html/body/section[1],[NODE_ADDED]
/html/body/div[8],[PROP_CHANGED]
/html/body/iframe[1],[NODE_REMOVED]
/html/body/div[8]/div[2],[NODE_ADDED]
/html/body/div[8]/div[1],[NODE_ADDED]
/html/body/div[7],[PROP_CHANGED]
/html/body/div[7]/ul[1],[NODE_REMOVED]
/html/body/div[6],[PROP_CHANGED]
/html/body/div[6]/div[1],[PROP_CHANGED]
/html/body/div[6]/div[1]/div[3],[PROP_CHANGED]
/html/body/div[6]/div[1]/div[3]/p[2],[NODE_ADDED]
/html/body/div[6]/div[1]/div[3]/p[1],[NODE_ADDED]
/html/body/div[6]/div[1]/div[3]/h2[1],[NODE_ADDED]
/html/body/div[12]/footer[1]/nav[1]/ol[2]/li[2]/ol[1]/li[1],[NODE_REMOVED]
/html/body/div[6]/div[1]/div[3]/div[1],[NODE_REMOVED]
/html/body/div[6]/div[1]/div[2],[PROP_CHANGED]
/html/body/div[6]/div[1]/div[2]/img[1],[NODE_ADDED]
/html/body/div[6]/div[1]/div[2]/div[1],[NODE_REMOVED]
/html/body/div[6]/div[1]/div[1],[PROP_CHANGED]
/html/body/div[6]/div[1]/div[1]/div[1],[PROP_CHANGED]
/html/body/div[6]/div[1]/div[1]/div[1]/form[1],[PROP_CHANGED]
/html/body/div[6]/div[1]/div[1]/div[1]/form[1]/div[2],[NODE_REMOVED]
/html/body/div[6]/div[1]/div[1]/div[1]/form[1]/span[1],[NODE_ADDED]
/html/body/div[15]/footer[1]/nav[1]/ol[1]/li[1]/ol[1]/li[1],[NODE_ADDED]
/html/body/div[6]/div[1]/div[1]/div[1]/form[1]/div[1],[NODE_REMOVED]
