Api Content,Api Type
/html/body/section[1]/div[1]/main[1]/section[2]/div[3],[PROP_CHANGED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1],[PROP_CHANGED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1]/div[6],[NODE_REMOVED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1]/div[5],[NODE_REMOVED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1]/div[4],[NODE_REMOVED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1]/div[3],[NODE_REMOVED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1]/div[2],[NODE_REMOVED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1]/div[3],[NODE_ADDED]
/html/body/iframe[1],[PROP_CHANGED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1]/div[2]/div[5],[NODE_ADDED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1]/div[2]/div[4],[NODE_ADDED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1]/div[2]/div[3],[NODE_ADDED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1]/div[2]/div[2],[NODE_ADDED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1]/div[2]/div[1],[NODE_ADDED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[4]/div[1]/div[1]/div[1],[NODE_ADDED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[3]/div[1]/div[1]/a[1],[NODE_REMOVED]
/html/body/div[8],[NODE_ADDED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[2],[PROP_CHANGED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[2]/div[1],[PROP_CHANGED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[2],[NODE_ADDED]
/html/body/div[7],[NODE_ADDED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[4],[NODE_REMOVED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[3],[NODE_REMOVED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[2],[NODE_REMOVED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/a[1],[NODE_ADDED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1],[NODE_REMOVED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[1],[PROP_CHANGED]
/html/body/section[1]/div[1]/main[1]/section[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1],[NODE_REMOVED]
/html/body/div[6],[NODE_ADDED]
/html/body/section[1]/div[1]/main[1]/section[1]/div[1],[NODE_ADDED]
/html/body/section[1]/div[1]/header[1]/div[2],[PROP_CHANGED]
/html/body/section[1]/footer[1]/xc-footer[1],[NODE_ADDED]
/html/body/section[1]/div[1]/header[1]/div[1]/span[1],[NODE_ADDED]
/html/body/section[1]/div[1]/header[1]/div[2]/div[1],[PROP_CHANGED]
/html/body/section[1]/div[1]/header[1]/div[2]/div[1]/div[2],[PROP_CHANGED]
/html/body/section[1]/div[1]/header[1]/div[2]/div[1]/div[2]/ul[1],[PROP_CHANGED]
/html/body/section[1]/div[1]/header[1]/div[2]/div[1]/div[2]/ul[1]/li[3],[PROP_CHANGED]
/html/body/section[1]/div[1]/header[1]/div[1]/div[1]/div[1]/ul[1]/li[3]/div[1],[NODE_ADDED]
/html/body/section[1]/div[1]/header[1]/div[2]/div[1]/div[2]/ul[1]/li[3]/a[1],[NODE_REMOVED]
/html/body/section[1]/div[1]/header[1]/div[2]/div[1]/div[2]/ul[1]/li[2],[PROP_CHANGED]
/html/body/section[1]/div[1]/header[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/button[1],[NODE_ADDED]
/html/body/section[1]/footer[1]/footer[1],[NODE_REMOVED]
/html/body/section[1]/div[1]/header[1]/div[2]/div[1]/div[2]/ul[1]/li[2]/div[1],[NODE_REMOVED]
/html/body/section[1]/div[1]/header[1]/div[2]/div[1]/div[2]/ul[1]/li[1],[PROP_CHANGED]
/html/body/section[1]/div[1]/header[1]/div[1]/div[1]/div[1]/ul[1]/li[1]/button[1],[NODE_ADDED]
/html/body/section[1]/div[1]/header[1]/div[2]/div[1]/div[2]/ul[1]/li[1]/a[1],[NODE_REMOVED]
/html/body/section[1]/div[1]/header[1]/div[1]/div[1]/nav[1],[NODE_ADDED]
/html/body/section[1]/div[1]/header[1]/div[2]/div[1]/div[1],[NODE_REMOVED]
/html/body/section[1]/div[1]/header[1]/xc-header[1],[NODE_ADDED]
/html/body/section[1]/div[1]/header[1]/div[1],[NODE_REMOVED]
/html/body/section[1]/div[1]/div[1],[PROP_CHANGED]
/html/body/section[1]/div[1]/div[1]/div[1],[NODE_ADDED]
/html/body/section[1]/div[1]/main[1]/section[3],[NODE_REMOVED]
/html/body/div[5],[NODE_ADDED]
/html/body/img[1],[NODE_ADDED]
/html/body/div[3],[NODE_ADDED]
